Saison;Spieltag;Datum;HA;Gegner;Ergebnis;Punkte;Platz;PPP;Geschossen;Kassiert
2024/25;20;16.03.2025;A;BSV Roxel;4:0;3;1;35;6|Omar Guetat|30|Tim Merker|78|Niklaas Houghton|80|Niklaas Houghton;
2024/25;21;23.03.2025;H;SV Mauritz;1:1;1;1;35;90|Asdren Haliti;29
2024/25;22;30.03.2025;H;Germania Horstmar;4:1;3;1;35;22|Engin Demirdag|23|Marius Schomaker|30|Engin Demirdag|35|Asdren Haliti;84
2024/25;23;06.04.2025;A;SV Büren;7:2;3;1;35;4|Luca Tillmann|9|Henrik Möllers|24|Marius Klöpper|27|Omar Guetat|45|Luca Tillmann|48|Luca Tillmann|64|Jonas Schomaker;82|83
2024/25;24;13.04.2025;H;Greven 09;2:0;3;1;35;58|Henrik Möllers|73|Omar Guetat;
2024/25;25;27.04.2025;A;Borghorster FC;2:1;3;1;35;12|Marius Schomaker|30|Omar Guetat;32
2024/25;26;04.05.2025;H;SG Telgte;4:0;3;1;35;6|Henrik Möllers|17|Luca Tillmann|54|Engin Demirdag|66|Engin Demirdag;
2024/25;27;11.05.2025;A;Münster 08;2:0;3;1;35;40|Marius Schomaker|80|Marius Schomaker;
2024/25;28;18.05.2025;H;Neuenkirchen II;4:1;3;1;35;9|Omar Guetat|30|Marius Schomaker|53|Luca Tillmann|68|Marius Schomaker;53
2024/25;29;25.05.2025;A;FC Nordwalde;1:1;1;1;35;44|Tim Merker;24
2024/25;30;01.06.2025;H;Wacker Mecklenbeck;;0;1;35;;
